,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,onset
492,-0.1,0.1,0.3972217394594487,1,2,1.2,0.541424397025015,0.3,1,0.902,1.2,493,4930
493,-0.1,0.1,0.4411228990164194,0,2,1.2,-0.05870647774793403,0.3,1,0.637,1.2,494,4940
494,-0.1,0.1,0.4053089770511828,1,2,1.2,2.4571457250941813,0.3,1,0.415,1.2,495,4950
495,-0.1,0.1,0.5450506659138359,1,2,1.2,3.0992762618424954,0.3,1,0.8809999999999999,1.2,496,4960
496,-0.1,0.1,0.4526682510727352,1,2,1.2,2.3533075204527463,0.3,1,0.489,1.2,497,4970
497,-0.1,0.1,0.4622248172200669,1,2,1.2,2.5529338755337454,0.3,1,0.48,1.2,498,4980
498,-0.1,0.1,0.4889609345305792,1,2,1.2,2.47243415223474,0.3,1,0.414,1.2,499,4990
499,-0.1,0.1,0.4826797443662246,1,2,1.2,3.0160624624226307,0.3,1,0.39799999999999996,1.2,500,5000
500,-0.1,0.1,0.4553333913164546,1,2,1.2,3.15038430215234,0.3,1,0.522,1.2,501,5010
501,-0.1,0.1,0.4657463519312941,1,2,1.2,3.7527058460115543,0.3,1,0.368,1.2,502,5020
502,-0.1,0.1,0.4245816035578259,0,2,1.2,0.2733045006791415,0.3,1,0.353,1.2,503,5030
503,-0.1,0.1,0.4389562826832017,1,2,1.2,2.726561003497803,0.3,1,0.39899999999999997,1.2,504,5040
504,-0.1,0.1,0.4309344963774078,1,2,1.2,1.3175467953707374,0.3,1,0.6,1.2,505,5050
